elf_sha256=20825d3a3d5a4080eaae656e3bf2a0b37e757fd1fc6fe36eb199a44391ce830d
payload_bytes=25025 payload_sha256=0bcdb1abbc55e401ddb4c069e04d94e74002222454844d7c7815522021b1cf0f transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25025 pixels=452 heap=33872 us=10407
transfer_seconds=0.359
LOADED bytes=25025 pixels=452 heap=34064 us=9432
transfer_seconds=0.157
LOADED bytes=25025 pixels=452 heap=34064 us=9458
transfer_seconds=0.156
FRAME 0 3459375601 2538 0 0
FRAME 49652777 3459375601 5348 0 1
FRAME 49659722 3459375601 2710 0 0
FRAME 58319444 1758088845 2836 0 0
FRAME 58680555 2337628906 2898 0 0
FRAME 58986111 1343713600 3544 0 0
FRAME 66000000 2491043852 38981 0 0
FRAME 104166666 3459375601 2948 0 0
FRAME 249753832 3459375601 401 0 0
FRAME 0 3459375601 3267 0 0
VERIFIED 10 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2257 encode_avg_us=2456 encode_max_us=2661 dma_wait_avg_us=1841 dma_wait_max_us=1879 total_avg_us=6326 total_max_us=6357 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2009 eval_max_us=2288 encode_avg_us=2456 encode_max_us=2657 dma_wait_avg_us=1840 dma_wait_max_us=1900 total_avg_us=6327 total_max_us=6395 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2261 encode_avg_us=2457 encode_max_us=2658 dma_wait_avg_us=1842 dma_wait_max_us=2071 total_avg_us=6330 total_max_us=6542 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2257 encode_avg_us=2459 encode_max_us=2658 dma_wait_avg_us=1839 dma_wait_max_us=1874 total_avg_us=6327 total_max_us=6374 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2256 encode_avg_us=2458 encode_max_us=2664 dma_wait_avg_us=1838 dma_wait_max_us=1865 total_avg_us=6326 total_max_us=6368 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2010 eval_max_us=2277 encode_avg_us=2457 encode_max_us=2654 dma_wait_avg_us=1837 dma_wait_max_us=1865 total_avg_us=6327 total_max_us=6377 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2370 encode_avg_us=2456 encode_max_us=2654 dma_wait_avg_us=1841 dma_wait_max_us=1959 total_avg_us=6328 total_max_us=6433 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2010 eval_max_us=2333 encode_avg_us=2456 encode_max_us=2656 dma_wait_avg_us=1838 dma_wait_max_us=1865 total_avg_us=6327 total_max_us=6429 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2248 encode_avg_us=2458 encode_max_us=2665 dma_wait_avg_us=1838 dma_wait_max_us=1870 total_avg_us=6327 total_max_us=6365 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2007 eval_max_us=2259 encode_avg_us=2458 encode_max_us=2655 dma_wait_avg_us=1839 dma_wait_max_us=1878 total_avg_us=6328 total_max_us=6428 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2007 eval_max_us=2311 encode_avg_us=2459 encode_max_us=2691 dma_wait_avg_us=1838 dma_wait_max_us=1865 total_avg_us=6327 total_max_us=6402 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2331 encode_avg_us=2458 encode_max_us=2654 dma_wait_avg_us=1838 dma_wait_max_us=1865 total_avg_us=6326 total_max_us=6367 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2286 encode_avg_us=2457 encode_max_us=2667 dma_wait_avg_us=1841 dma_wait_max_us=1876 total_avg_us=6326 total_max_us=6360 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2267 encode_avg_us=2458 encode_max_us=2725 dma_wait_avg_us=1841 dma_wait_max_us=1877 total_avg_us=6327 total_max_us=6367 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2256 encode_avg_us=2458 encode_max_us=2722 dma_wait_avg_us=1841 dma_wait_max_us=1877 total_avg_us=6327 total_max_us=6369 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2007 eval_max_us=2290 encode_avg_us=2457 encode_max_us=2733 dma_wait_avg_us=1840 dma_wait_max_us=1878 total_avg_us=6326 total_max_us=6366 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2257 encode_avg_us=2455 encode_max_us=2647 dma_wait_avg_us=1844 dma_wait_max_us=2108 total_avg_us=6328 total_max_us=6579 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2007 eval_max_us=2258 encode_avg_us=2457 encode_max_us=2654 dma_wait_avg_us=1840 dma_wait_max_us=1896 total_avg_us=6328 total_max_us=6435 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2253 encode_avg_us=2457 encode_max_us=2660 dma_wait_avg_us=1841 dma_wait_max_us=1866 total_avg_us=6327 total_max_us=6374 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2253 encode_avg_us=2457 encode_max_us=2651 dma_wait_avg_us=1843 dma_wait_max_us=1871 total_avg_us=6327 total_max_us=6391 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2252 encode_avg_us=2459 encode_max_us=2664 dma_wait_avg_us=1840 dma_wait_max_us=1895 total_avg_us=6327 total_max_us=6389 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2255 encode_avg_us=2458 encode_max_us=2657 dma_wait_avg_us=1839 dma_wait_max_us=1866 total_avg_us=6327 total_max_us=6384 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2257 encode_avg_us=2458 encode_max_us=2653 dma_wait_avg_us=1840 dma_wait_max_us=1879 total_avg_us=6327 total_max_us=6370 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2009 eval_max_us=2255 encode_avg_us=2458 encode_max_us=2655 dma_wait_avg_us=1837 dma_wait_max_us=1876 total_avg_us=6327 total_max_us=6398 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2011 eval_max_us=2309 encode_avg_us=2457 encode_max_us=2658 dma_wait_avg_us=1836 dma_wait_max_us=1866 total_avg_us=6328 total_max_us=6395 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2254 encode_avg_us=2459 encode_max_us=2658 dma_wait_avg_us=1837 dma_wait_max_us=1865 total_avg_us=6327 total_max_us=6375 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2009 eval_max_us=2315 encode_avg_us=2457 encode_max_us=2657 dma_wait_avg_us=1838 dma_wait_max_us=1873 total_avg_us=6327 total_max_us=6376 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2326 encode_avg_us=2457 encode_max_us=2654 dma_wait_avg_us=1838 dma_wait_max_us=1875 total_avg_us=6327 total_max_us=6371 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2007 eval_max_us=2331 encode_avg_us=2457 encode_max_us=2653 dma_wait_avg_us=1842 dma_wait_max_us=2074 total_avg_us=6329 total_max_us=6545 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2314 encode_avg_us=2458 encode_max_us=2726 dma_wait_avg_us=1840 dma_wait_max_us=1949 total_avg_us=6327 total_max_us=6419 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2004 eval_max_us=2219 encode_avg_us=2459 encode_max_us=2722 dma_wait_avg_us=1841 dma_wait_max_us=1898 total_avg_us=6327 total_max_us=6369 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2395 encode_avg_us=2459 encode_max_us=2647 dma_wait_avg_us=1839 dma_wait_max_us=1874 total_avg_us=6327 total_max_us=6378 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2222 encode_avg_us=2458 encode_max_us=2716 dma_wait_avg_us=1840 dma_wait_max_us=1879 total_avg_us=6326 total_max_us=6349 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2224 encode_avg_us=2458 encode_max_us=2721 dma_wait_avg_us=1842 dma_wait_max_us=2008 total_avg_us=6328 total_max_us=6479 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2221 encode_avg_us=2456 encode_max_us=2728 dma_wait_avg_us=1842 dma_wait_max_us=1918 total_avg_us=6329 total_max_us=6448 heap_free=83008
PLAYBACK core=1 frames=120 missed=2 eval_avg_us=2291 eval_max_us=15246 encode_avg_us=2457 encode_max_us=2663 dma_wait_avg_us=1744 dma_wait_max_us=1862 total_avg_us=6516 total_max_us=17754 heap_free=83008
PLAYBACK core=1 frames=120 missed=120 eval_avg_us=26984 eval_max_us=30691 encode_avg_us=2465 encode_max_us=2737 dma_wait_avg_us=33 dma_wait_max_us=113 total_avg_us=29503 total_max_us=33206 heap_free=83008
PLAYBACK core=1 frames=120 missed=91 eval_avg_us=22262 eval_max_us=30616 encode_avg_us=2459 encode_max_us=2712 dma_wait_avg_us=425 dma_wait_max_us=1682 total_avg_us=25168 total_max_us=33150 heap_free=83008
PLAYBACK core=1 frames=120 missed=5 eval_avg_us=3071 eval_max_us=28822 encode_avg_us=2456 encode_max_us=2665 dma_wait_avg_us=1590 dma_wait_max_us=1698 total_avg_us=7141 total_max_us=31337 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2189 eval_max_us=2437 encode_avg_us=2456 encode_max_us=2734 dma_wait_avg_us=1658 dma_wait_max_us=1695 total_avg_us=6327 total_max_us=6364 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2189 eval_max_us=2440 encode_avg_us=2456 encode_max_us=2658 dma_wait_avg_us=1660 dma_wait_max_us=1900 total_avg_us=6329 total_max_us=6549 heap_free=81308
PLAYBACK core=1 frames=120 missed=78 eval_avg_us=24991 eval_max_us=37615 encode_avg_us=2466 encode_max_us=2744 dma_wait_avg_us=593 dma_wait_max_us=1682 total_avg_us=28076 total_max_us=40131 heap_free=83008
CAPTURED 65 playback windows
