ELF sha256=cc9ccafdd549438d8455f0770c60db9295351cc4e07a0044f8d5e9eee1e26640
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2123697 samples=0
PC 4008b56a
PC 4008b93b
PC 40083f52
PC 40085a1e
PC 4008362d
PC 40083d5b
PC 4008ba2a
PC 40084fa8
PC 40085a3d
PC 4000c26c
PC 40108479
PC 40085a2f
PC 40085a32
PC 4008b52a
PC 4008bb85
PC 40085a20
PC 40108573
PC 40083630
PC 40085a1e
PC 4008bb78
PC 40082e91
PC 40107358
PC 4008359b
PC 40085a49
PC 40085a3f
PC 40083b09
PC 4008361b
PC 40084c0f
PC 4000c26a
PC 4008b90e
PC 4008b94f
PC 40107353
PC 4008b56d
PC 4008b9cb
PC 40085a37
PC 4008b980
PC 40085a3a
PC 40085a28
PC 4008b49f
PC 40085a2f
PC 40082f56
PC 40084f84
PC 40085a2f
PC 40083d83
PC 40085a1a
PC 4000c276
PC 40085a1a
PC 40083b03
PC 40108642
PC 40085a3a
PC 40083634
PC 40108464
PC 40085a1e
PC 40083b79
PC 4008b49f
PC 40082ece
PC 40082f53
PC 400850bf
PC 40083e8f
PC 40082eb7
PC 40107214
PC 40085a3a
PC 40083d5b
PC 40082f5b
PC 401085e0
PC 40107363
PC 4000c273
PC 4008b8e0
PC 40085a2c
PC 40085a20
PC 4008b8cc
PC 40085a1a
PC 40085a32
PC 4000c26a
PC 4008bb7d
PC 40082fa8
PC 400835bf
PC 40084ee6
PC 40088dac
PC 40085a3d
PC 40081a8b
PC 40085a20
PC 40082f26
PC 40085086
PC 40083e9b
PC 40083f05
PC 40085a57
PC 4000c268
PC 40085a26
PC 40085a45
PC 4008508c
PC 40084c4d
PC 40082f26
PC 4010861f
PC 40085a37
PC 40081dbc
PC 4008b93e
PC 400835de
PC 40085a34
PC 4000c280
PC 401084cc
PC 40085a3a
PC 40085a60
PC 40083717
PC 40082e8f
PC 40085a26
PC 400857c9
PC 40084c43
PC 40085a20
PC 40085a1c
PC 40085a1e
PC 40083d86
PC 4008b989
PC 40085a20
PC 40088dff
PC 40083b60
PC 40084f5a
PC 40084bd5
PC 4008360f
PC 40108535
PC 4000c268
PC 40085a2f
PC 4008bb85
PC 400835cd
PC 40083b57
PC 4000c280
PC 4008b963
PC 40085a3f
PC 40083637
PC 40084f24
PC 40085a42
PC 4008361d
PC 4008b463
PC 40082ed3
PC 400835d4
PC 40083637
PC 4008b977
PC 40085a26
PC 400835f6
PC 40108471
PC 40083710
PC 40085a1a
PC 4008ba3e
PC 4008359b
PC 40085a1a
PC 40085a28
PC 40084fc0
PC 40084c30
PC 40082f1f
PC 40085066
PC 400d3569
PC 40085a2f
PC 400835b5
PC 40085a37
PC 4008ba43
PC 40107347
PC 4008b4b2
PC 40085a3a
PC 40082f26
PC 40084fda
PC 40084bc4
PC 40082ea0
PC 40085a42
PC 4000c280
PC 40085a1a
PC 4008b9d6
PC 401085ad
PC 40083cb7
PC 40083717
PC 40084f1f
PC 40083f3d
PC 40085a32
PC 4008b493
PC 40084cfd
PC 40082f2e
PC 4008509b
PC 4010733f
PC 40083d39
PC 4008ba40
PC 40085a5a
PC 400835ab
PC 400835a2
PC 40083e6d
PC 40085a2f
PC 4008b93e
PC 400835f6
PC 400d3541
PC 4000c280
PC 4008b8cc
PC 4008b947
PC 40085a1a
PC 4000c260
PC 4008b8f8
PC 40083709
PC 401084f0
PC 40083e7f
PC 40085a2c
PC 4008b929
PC 40082ece
PC 40082f75
PC 40084fbb
PC 40084bdd
PC 40085a3a
PC 40083b06
PC 40085a26
PC 40085a26
PC 4008b55e
PC 401084d2
PC 40082f47
PC 400835e0
PC 40083e84
PC 4008b97a
PC 40083618
PC 4008b51f
PC 40084ce0
PC 40083b57
PC 40084fc7
PC 40085a1a
PC 40083d9d
PC 4008b977
PC 40085a60
PC 40082e91
PC 4000c276
PC 4010867c
PC 40083f3d
PC 4010735e
PC 4000c285
PC 40085a1e
PC 40082f26
PC 4008509e
PC 40084c35
PC 40083717
PC 40084f60
PC 4008370c
PC 40085a3a
PC 4010733f
PC 400835f6
PC 40085a3d
PC 40085a26
PC 4008507a
PC 40084c86
PC 40085a1a
PC 40084f8a
PC 40083712
PC 40083d44
PC 4008b974
PC 4010735e
PC 40085a20
PC 4000c26c
PC 401084a1
PC 40082f50
PC 40085a32
PC 40083e95
PC 40107353
PC 4008362a
PC 4008b486
PC 40084ce6
PC 40085a1e
PC 40085a32
PC 40084f18
PC 4008b9d9
PC 40107347
PC 4000c280
PC 40085a37
PC 40085a1e
PC 4010861f
PC 40085a2f
PC 40085a1c
PC 40108682
PC 40085a2f
PC 40082ea9
PC 40081aba
PC 40085a1c
PC 40085a37
PC 40083717
PC 40084ef8
PC 4008ba5b
PC 40085a3a
PC 40085a1e
PC 40082e8d
PC 40085a42
PC 40088947
PC 4008b8cc
PC 40083b66
PC 4010721f
PC 40085a34
PC 40082fa5
PC 40085a45
PC 4000c280
PC 4008b968
PC 40082f26
PC 40084f66
PC 40084bc4
PC 4000c268
PC 4008b96e
PC 40085a3a
PC 40083d44
PC 4008b9cb
PC 4010735e
PC 40088df5
PC 40082f2e
PC 40108604
PC 40084bd5
PC 4000c276
PC 401085d2
PC 4008371c
PC 40085a3f
PC 40085a26
PC 4000c273
PC 40085a3f
PC 400835f9
PC 4008b555
PC 40107355
PC 4008371c
PC 40081abc
PC 4010853b
PC 40085a2f
PC 4000c26a
PC 4008b90e
PC 40082f5b
PC 40083d36
PC 40083a33
PC 40085a3f
PC 4010733f
PC 4008508c
PC 40083e6d
PC 4008b8ef
PC 40085a4f
PC 4000c268
PC 40085a2f
PC 40085a37
PC 40084f84
PC 4010721f
PC 400835bb
PC 40108676
PC 40088dbb
PC 40085a3f
PC 40081aa4
PC 40085a34
PC 4010721d
PC 4008507a
PC 4010721a
PC 40085a2f
PC 4008ba2a
PC 40107353
PC 4010733f
PC 40085a63
PC 40083712
PC 40083d86
PC 4008b90e
PC 40085a2f
PC 40107214
PC 400835bf
PC 40109127
PC 4008b8e0
PC 40085a1a
PC 400888cb
PC 4008b8f5
PC 40085a1e
PC 4008bb85
PC 40081dba
PC 40083d52
PC 4008bb7f
PC 40085a32
PC 40085a3a
PC 40084f60
PC 40085a20
PC 40085a32
PC 4008ba43
PC 40085a5d
PC 40083637
PC 400d3532
PC 401084a7
PC 40083f49
PC 40085a4d
PC 40083e89
PC 4008b8d1
PC 400835bb
PC 400857bc
PC 40084c4d
PC 40085a1a
PC 40108559
PC 4000c26a
PC 40083d91
PC 4008bb78
PC 4010721f
PC 40085a1a
PC 40083614
PC 40084ee3
PC 4008b8d4
PC 40085a34
PC 40083630
PC 4008b906
PC 40082f28
PC 401085e3
PC 40085a3a
PC 4000c26c
PC 4008ba2a
PC 40085a3f
PC 40085a20
PC 4008b8ef
PC 40107347
