elf_sha256=20825d3a3d5a4080eaae656e3bf2a0b37e757fd1fc6fe36eb199a44391ce830d
payload_bytes=25025 payload_sha256=0bcdb1abbc55e401ddb4c069e04d94e74002222454844d7c7815522021b1cf0f transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25025 pixels=452 heap=33872 us=10073
transfer_seconds=0.406
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 49659722 3459375601 2631 0 0
FRAME 58319444 1758088845 3550 0 0
FRAME 58680555 2337628906 2942 0 0
FRAME 58986111 1343713600 5052 0 0
FRAME 66000000 2491043852 41011 0 1
FRAME 104166666 3459375601 2945 0 0
FRAME 249753832 3459375601 372 0 0
FRAME 0 3459375601 2537 0 0
FRAME 0 3459375601 2754 0 0
FRAME 49652777 3459375601 2634 0 0
FRAME 49659722 3459375601 2743 0 0
FRAME 58319444 1758088845 3540 0 0
FRAME 58680555 2337628906 2976 0 0
FRAME 58986111 1343713600 2923 0 0
FRAME 66000000 2491043852 39041 0 0
FRAME 104166666 3459375601 2863 0 0
FRAME 249753832 3459375601 969 0 0
FRAME 0 3459375601 2722 0 0
FRAME 0 3459375601 2672 0 0
FRAME 49652777 3459375601 3303 0 0
FRAME 49659722 3459375601 4829 0 0
FRAME 58319444 1758088845 2921 0 0
FRAME 58680555 2337628906 2992 0 0
FRAME 58986111 1343713600 3010 0 0
FRAME 66000000 2491043852 38126 0 0
FRAME 104166666 3459375601 2950 0 0
FRAME 249753832 3459375601 373 0 0
FRAME 0 3459375601 2657 0 0
FRAME 0 3459375601 2656 0 0
FRAME 49652777 3459375601 2635 0 0
FRAME 49659722 3459375601 5244 0 2
FRAME 58319444 1758088845 2812 0 0
FRAME 58680555 2337628906 2882 0 0
FRAME 58986111 1343713600 3723 0 0
FRAME 66000000 2491043852 39025 0 0
FRAME 104166666 3459375601 3466 0 0
FRAME 249753832 3459375601 406 0 0
FRAME 0 3459375601 2531 0 0
FRAME 0 3459375601 3308 0 0
FRAME 49652777 3459375601 3362 0 0
FRAME 49659722 3459375601 2511 0 0
FRAME 58319444 1758088845 2941 0 0
FRAME 58680555 2337628906 2991 0 0
FRAME 58986111 1343713600 3014 0 0
FRAME 66000000 2491043852 41938 0 1
FRAME 104166666 3459375601 2740 0 0
FRAME 249753832 3459375601 390 0 0
FRAME 0 3459375601 3401 0 0
FRAME 0 3459375601 3191 0 0
FRAME 49652777 3459375601 3367 0 0
FRAME 49659722 3459375601 2627 0 0
FRAME 58319444 1758088845 3606 0 0
FRAME 58680555 2337628906 2826 0 0
FRAME 58986111 1343713600 2890 0 0
FRAME 66000000 2491043852 39042 0 0
FRAME 104166666 3459375601 2863 0 0
FRAME 249753832 3459375601 372 0 0
FRAME 0 3459375601 3393 0 0
VERIFIED 200 frames; zero evaluation allocations
