elf_sha256=d7f0b148255ce6f428739a778ab03e74b7a6f1cd276493880a89b46919596ecd
payload_bytes=25268 payload_sha256=346eba4bd9d5b9eaee0ecc2f5c592de5e34f08761545f32500df17f7ffb151db transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25268 pixels=452 heap=35704 us=9356
transfer_seconds=0.250
FRAME 0 3459375601 2359 0 0
FRAME 49652777 3459375601 2269 0 0
FRAME 49659722 3459375601 2940 0 0
FRAME 58319444 1758088845 2500 0 0
FRAME 58680555 2337628906 2538 0 0
FRAME 58986111 1343713600 2797 0 0
FRAME 66000000 2491043852 4572 0 0
FRAME 104166666 3459375601 2446 0 0
FRAME 249753832 3459375601 376 0 0
FRAME 0 3459375601 2376 0 0
VERIFIED 10 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2167 encode_avg_us=2460 encode_max_us=2705 dma_wait_avg_us=1966 dma_wait_max_us=2188 total_avg_us=6329 total_max_us=6537 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2148 encode_avg_us=2460 encode_max_us=2711 dma_wait_avg_us=1968 dma_wait_max_us=1989 total_avg_us=6327 total_max_us=6368 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2148 encode_avg_us=2457 encode_max_us=2704 dma_wait_avg_us=1970 dma_wait_max_us=2000 total_avg_us=6328 total_max_us=6404 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1850 eval_max_us=2257 encode_avg_us=2459 encode_max_us=2709 dma_wait_avg_us=1966 dma_wait_max_us=1989 total_avg_us=6327 total_max_us=6397 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2094 encode_avg_us=2461 encode_max_us=2712 dma_wait_avg_us=1969 dma_wait_max_us=2139 total_avg_us=6330 total_max_us=6542 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2162 encode_avg_us=2458 encode_max_us=2706 dma_wait_avg_us=1969 dma_wait_max_us=2136 total_avg_us=6328 total_max_us=6485 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2115 encode_avg_us=2457 encode_max_us=2716 dma_wait_avg_us=1969 dma_wait_max_us=1994 total_avg_us=6329 total_max_us=6484 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1849 eval_max_us=2170 encode_avg_us=2460 encode_max_us=2710 dma_wait_avg_us=1965 dma_wait_max_us=1994 total_avg_us=6327 total_max_us=6364 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2114 encode_avg_us=2457 encode_max_us=2713 dma_wait_avg_us=1969 dma_wait_max_us=2033 total_avg_us=6328 total_max_us=6445 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2159 encode_avg_us=2456 encode_max_us=2710 dma_wait_avg_us=1970 dma_wait_max_us=2115 total_avg_us=6328 total_max_us=6456 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2066 encode_avg_us=2462 encode_max_us=2803 dma_wait_avg_us=1964 dma_wait_max_us=2000 total_avg_us=6328 total_max_us=6403 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2131 encode_avg_us=2457 encode_max_us=2713 dma_wait_avg_us=1970 dma_wait_max_us=1996 total_avg_us=6329 total_max_us=6483 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2156 encode_avg_us=2460 encode_max_us=2794 dma_wait_avg_us=1966 dma_wait_max_us=1993 total_avg_us=6327 total_max_us=6389 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2075 encode_avg_us=2460 encode_max_us=2708 dma_wait_avg_us=1969 dma_wait_max_us=2034 total_avg_us=6327 total_max_us=6388 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1849 eval_max_us=2157 encode_avg_us=2457 encode_max_us=2709 dma_wait_avg_us=1967 dma_wait_max_us=2145 total_avg_us=6329 total_max_us=6495 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1849 eval_max_us=2109 encode_avg_us=2458 encode_max_us=2710 dma_wait_avg_us=1967 dma_wait_max_us=1994 total_avg_us=6328 total_max_us=6389 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2162 encode_avg_us=2458 encode_max_us=2706 dma_wait_avg_us=1967 dma_wait_max_us=1998 total_avg_us=6327 total_max_us=6384 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2148 encode_avg_us=2461 encode_max_us=2705 dma_wait_avg_us=1966 dma_wait_max_us=1994 total_avg_us=6327 total_max_us=6388 heap_free=81368
